Model,CV Accuracy Mean,CV Accuracy Std,Test Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.978,0.0098,0.9825,0.9861,0.9861,0.9861,0.9954
Random Forest,0.9626,0.0164,0.9474,0.9583,0.9583,0.9583,0.9937
